seq,source_category_key,source_category_id,source_object_key,source_object_id,source_object_canonical,tag_rows,items,photos,target_category_key,target_category_id,target_object_key,target_object_id,target_clo_id,target_type_key,target_type_id,op_object_merge,op_category_move,op_type_expansion,op_to_generic_other,information_loss,recommendation,review_status,approved_by,notes
13,industrial,9,plastic,89,yes,666,2937,666,other,12,plastic,89,108,,,no,yes,no,no,"category reassigned industrial->other",PROPOSED,PENDING,,
14,marine,10,bag,36,yes,1161,1662,1161,marine,10,other,1,93,,,yes,no,no,yes,"LOSSY: ""bag"" becomes generic other","REJECT — add canonical pivot in marine instead",PENDING,,
15,marine,10,balloons,178,no,450,635,450,marine,10,other,1,93,,,yes,no,no,yes,"LOSSY: ""balloons"" becomes generic other","REJECT — add canonical pivot in marine instead",PENDING,,
16,marine,10,bottle,2,yes,741,1070,741,marine,10,other,1,93,,,yes,no,no,yes,"LOSSY: ""bottle"" becomes generic other","REJECT — add canonical pivot in marine instead",PENDING,,
17,marine,10,buoys,196,no,145,189,145,marine,10,buoy,63,78,,,yes,no,no,no,,PROPOSED,PENDING,,
18,marine,10,fishing_nets,173,no,894,1154,893,marine,10,fishing_net,69,84,,,yes,no,no,no,,PROPOSED,PENDING,,
19,marine,10,lego,197,no,3,3,3,other,12,other,1,121,,,yes,yes,no,yes,"LOSSY: ""lego"" becomes generic other; category reassigned marine->other","REJECT — add canonical pivot in marine instead",PENDING,,
20,marine,10,lighters,119,yes,46,60,46,smoking,15,lighters,119,142,,,no,yes,no,no,"category reassigned marine->smoking",PROPOSED,PENDING,,
21,marine,10,mediumplastics,147,no,1564,4004,1564,marine,10,macroplastics,70,85,,,yes,no,no,no,,PROPOSED,PENDING,,
22,marine,10,shotgun_cartridges,193,no,493,725,493,marine,10,shotgun_cartridge,76,91,,,yes,no,no,no,,PROPOSED,PENDING,,
23,marine,10,straws,150,no,175,226,175,marine,10,other,1,93,,,yes,no,no,yes,"LOSSY: ""straws"" becomes generic other","REJECT — add canonical pivot in marine instead",PENDING,,
24,other,12,automobile,180,no,794,987,794,vehicles,17,car_part,129,167,,,yes,yes,no,no,"category reassigned other->vehicles",PROPOSED,PENDING,,
25,other,12,bagsLitter,176,no,1041,2239,1041,other,12,bags_litter,15,106,,,yes,no,no,no,,PROPOSED,PENDING,,
26,other,12,balloons,178,no,1730,1856,1730,other,12,balloon,96,115,,,yes,no,no,no,,PROPOSED,PENDING,,
27,other,12,batteries,181,no,291,363,291,electronics,7,battery,29,36,,,yes,yes,no,no,"category reassigned other->electronics",PROPOSED,PENDING,,
28,other,12,books,192,no,38,71,38,other,12,other,1,121,,,yes,no,no,yes,"LOSSY: ""books"" becomes generic other","REVIEW — consider adding canonical object",PENDING,,
29,other,12,cableTie,187,no,1021,1203,1021,other,12,cable_tie,95,114,,,yes,no,no,no,,PROPOSED,PENDING,,
30,other,12,dogshit,102,yes,1146,1383,1146,pets,13,dogshit,102,122,,,no,yes,no,no,"category reassigned other->pets",PROPOSED,PENDING,,
31,other,12,dogshit_in_bag,103,yes,506,649,506,pets,13,dogshit_in_bag,103,123,,,no,yes,no,no,"category reassigned other->pets",PROPOSED,PENDING,,
32,other,12,dump,165,no,1875,9733,1875,dumping,6,dumping,28,34,,,yes,yes,no,no,"category reassigned other->dumping",PROPOSED,PENDING,,
33,other,12,ear_plugs,161,no,26,46,26,sanitary,14,other,1,138,,,yes,yes,no,yes,"LOSSY: ""ear_plugs"" becomes generic other; category reassigned other->sanitary","REVIEW — consider adding canonical object",PENDING,,
34,other,12,elec_large,169,no,60,100,60,electronics,7,other,1,43,,,yes,yes,no,yes,"LOSSY: ""elec_large"" becomes generic other; category reassigned other->electronics","REVIEW — consider adding canonical object",PENDING,,
35,other,12,elec_small,174,no,291,385,291,electronics,7,other,1,43,,,yes,yes,no,yes,"LOSSY: ""elec_small"" becomes generic other; category reassigned other->electronics","REVIEW — consider adding canonical object",PENDING,,
36,other,12,hair_tie,160,no,515,546,515,sanitary,14,other,1,138,,,yes,yes,no,yes,"LOSSY: ""hair_tie"" becomes generic other; category reassigned other->sanitary","REVIEW — consider adding canonical object",PENDING,,
37,other,12,life_buoy,184,no,6,11,6,marine,10,buoy,63,78,,,yes,yes,no,no,"category reassigned other->marine",PROPOSED,PENDING,,
38,other,12,magazine,191,no,93,124,93,other,12,other,1,121,,,yes,no,no,yes,"LOSSY: ""magazine"" becomes generic other","REVIEW — consider adding canonical object",PENDING,,
39,other,12,overflowingBins,188,no,517,524,517,other,12,overflowing_bin,19,107,,,yes,no,no,no,,PROPOSED,PENDING,,
40,other,12,plasticBags,149,no,10051,12946,10051,other,12,plastic_bag,92,111,,,yes,no,no,no,,PROPOSED,PENDING,,
41,other,12,posters,177,no,208,268,206,other,12,poster,94,113,,,yes,no,no,no,,PROPOSED,PENDING,,
42,other,12,randomLitter,170,no,12821,33801,12821,other,12,other,1,121,,,yes,no,no,yes,"LOSSY: ""randomLitter"" becomes generic other","REVIEW — consider adding canonical object",PENDING,,
43,other,12,trafficCone,171,no,116,136,116,other,12,traffic_cone,90,109,,,yes,no,no,no,,PROPOSED,PENDING,,
44,other,12,tyre,135,yes,202,436,202,vehicles,17,tyre,135,173,,,no,yes,no,no,"category reassigned other->vehicles",PROPOSED,PENDING,,
45,other,12,washingUp,152,no,79,102,79,other,12,other,1,121,,,yes,no,no,yes,"LOSSY: ""washingUp"" becomes generic other","REVIEW — consider adding canonical object",PENDING,,
46,sanitary,14,condoms,158,no,190,366,190,sanitary,14,condom,115,136,,,yes,no,no,no,,PROPOSED,PENDING,,
47,sanitary,14,earSwabs,166,no,172,294,172,sanitary,14,ear_swabs,106,127,,,yes,no,no,no,,PROPOSED,PENDING,,
48,sanitary,14,facemask,183,no,7742,7910,7742,medical,11,face_mask,79,95,,,yes,yes,no,no,"category reassigned sanitary->medical",PROPOSED,PENDING,,
49,sanitary,14,gloves,80,yes,2422,2562,2422,medical,11,gloves,80,96,,,no,yes,no,no,"category reassigned sanitary->medical",PROPOSED,PENDING,,
50,sanitary,14,menstrual,182,no,179,201,179,sanitary,14,sanitary_pad,112,133,,,yes,no,no,no,,PROPOSED,PENDING,,
51,sanitary,14,sanitiser,85,yes,42,53,42,medical,11,sanitiser,85,101,,,no,yes,no,no,"category reassigned sanitary->medical",PROPOSED,PENDING,,
52,sanitary,14,toothpick,168,no,284,309,284,sanitary,14,other,1,138,,,yes,no,no,yes,"LOSSY: ""toothpick"" becomes generic other","REVIEW — consider adding canonical object",PENDING,,
53,sanitary,14,wetwipes,179,no,3326,6052,3326,sanitary,14,wipes,104,125,,,yes,no,no,no,,PROPOSED,PENDING,,
54,smoking,15,cigarette_box,141,no,9803,10245,9803,smoking,15,box,37,140,cigarette,13,yes,no,yes,no,,PROPOSED,PENDING,,
55,smoking,15,filters,167,no,603,852,602,smoking,15,rolling_filter,122,146,,,yes,no,no,no,,PROPOSED,PENDING,,
56,smoking,15,rollingPapers,148,no,525,546,525,smoking,15,papers,120,144,,,yes,no,no,no,,PROPOSED,PENDING,,
57,smoking,15,tobaccopouch,162,no,408,434,408,smoking,15,pouch,121,145,tobacco,15,yes,no,yes,no,,PROPOSED,PENDING,,
58,smoking,15,vapeOil,189,no,63,74,63,smoking,15,vape,123,147,e_liquid_bottle,22,yes,no,yes,no,,PROPOSED,PENDING,,
59,smoking,15,vapePen,190,no,484,582,484,smoking,15,vape,123,147,pen,17,yes,no,yes,no,,PROPOSED,PENDING,,
60,softdrinks,16,brokenglass,164,no,42,145,42,softdrinks,16,broken_glass,3,151,,,yes,no,no,no,,PROPOSED,PENDING,,
61,softdrinks,16,energy_can,156,no,20498,20931,20498,softdrinks,16,can,5,152,energy,26,yes,no,yes,no,,PROPOSED,PENDING,,
62,softdrinks,16,fizzy_bottle,145,no,6448,7831,6448,softdrinks,16,bottle,2,149,soda,24,yes,no,yes,no,,PROPOSED,PENDING,,
63,softdrinks,16,iceTea_bottle,186,no,829,851,829,softdrinks,16,bottle,2,149,tea,28,yes,no,yes,no,,PROPOSED,PENDING,,
64,softdrinks,16,icedTea_can,194,no,588,607,588,softdrinks,16,can,5,152,iced_tea,31,yes,no,yes,no,,PROPOSED,PENDING,,
65,softdrinks,16,juice_bottle,155,no,1862,1940,1862,softdrinks,16,bottle,2,149,juice,25,yes,no,yes,no,,PROPOSED,PENDING,,
66,softdrinks,16,juice_carton,154,no,2243,2327,2243,softdrinks,16,carton,124,153,juice,25,yes,no,yes,no,,PROPOSED,PENDING,,
67,softdrinks,16,milk_bottle,153,no,901,935,901,softdrinks,16,bottle,2,149,milk,29,yes,no,yes,no,,PROPOSED,PENDING,,
68,softdrinks,16,milk_carton,151,no,827,874,827,softdrinks,16,carton,124,153,milk,29,yes,no,yes,no,,PROPOSED,PENDING,,
69,softdrinks,16,pullRing,175,no,758,1168,758,softdrinks,16,pull_ring,10,160,,,yes,no,no,no,,PROPOSED,PENDING,,
70,softdrinks,16,soda_can,142,no,16462,18034,16462,softdrinks,16,can,5,152,soda,24,yes,no,yes,no,,PROPOSED,PENDING,,
71,softdrinks,16,sports_bottle,143,no,2931,3277,2931,softdrinks,16,bottle,2,149,sports,27,yes,no,yes,no,,PROPOSED,PENDING,,
72,softdrinks,16,straw_packaging,172,no,1039,1111,1039,softdrinks,16,straw_wrapper,126,162,,,yes,no,no,no,,PROPOSED,PENDING,,
73,softdrinks,16,straws,150,no,7368,8438,7368,softdrinks,16,straw,25,161,,,yes,no,no,no,,PROPOSED,PENDING,,
74,softdrinks,16,water_bottle,140,no,17189,21889,17189,softdrinks,16,bottle,2,149,water,23,yes,no,yes,no,,PROPOSED,PENDING,,
