object_id,object_key,in_tagsconfig,total_items,pivotless_items,proposed_disposition,proposed_canonical_key,proposed_categories,information_gained_or_lost,export_api_impact,blockers,review_status,approved_by,approved_date,notes
115,condom,yes,1,0,keep,condom,sanitary,,none,,PENDING,,,
116,condom_wrapper,yes,2,0,keep,condom_wrapper,sanitary,,none,,PENDING,,,
158,condoms,no,366,366,"merge (proposed)",condom,sanitary,,"CSV column 'condoms' disappears; quantities move to target column",,PENDING,,,
57,construction,yes,27,0,keep,construction,industrial,,none,,PENDING,,,
39,container,yes,38,0,keep,container,food|industrial,,none,,PENDING,,,
64,cotton_bud_stick,yes,1,0,keep,cotton_bud_stick,marine,,none,,PENDING,,,
65,crate,yes,0,0,keep,crate,marine,,none,,PENDING,,,
163,crisp_large,no,469,469,"RETAIN (recommended)",crisp_packet,food,"size distinction unrepresentable: photo_tags has no size/state column","CSV column 'crisp_large' disappears; quantities move to target column","needs per-observation size model before merging; BrandsConfig references this key — must update in same change",PENDING,,,
40,crisp_packet,yes,58,0,keep,crisp_packet,food,,none,,PENDING,,,
157,crisp_small,no,5037,5037,"RETAIN (recommended)",crisp_packet,food,"size distinction unrepresentable: photo_tags has no size/state column","CSV column 'crisp_small' disappears; quantities move to target column","needs per-observation size model before merging; BrandsConfig references this key — must update in same change",PENDING,,,
6,cup,yes,27900,0,keep,cup,alcohol|coffee|softdrinks,,none,,PENDING,,,
22,cup_carrier,yes,1,0,keep,cup_carrier,coffee|softdrinks,,none,,PENDING,,,
41,cutlery,yes,3249,0,keep,cutlery,food,,none,,PENDING,,,
110,dental_floss,yes,10,0,keep,dental_floss,sanitary,,none,,PENDING,,,
111,deodorant_can,yes,172,0,keep,deodorant_can,sanitary,,none,,PENDING,,,
102,dogshit,yes,2187,1383,"REVIEW — canonical object tagged in a category with no pivot",dogshit,pets,"target may be generic ""other"" — check manifest","CSV column 'dogshit' disappears; quantities move to target column","decide: add pivot for that category, or move category",PENDING,,,
103,dogshit_in_bag,yes,2113,649,"REVIEW — canonical object tagged in a category with no pivot",dogshit_in_bag,pets,"target may be generic ""other"" — check manifest","CSV column 'dogshit_in_bag' disappears; quantities move to target column","decide: add pivot for that category, or move category",PENDING,,,
165,dump,no,9733,9733,"merge (proposed)",dumping,dumping,,"CSV column 'dump' disappears; quantities move to target column",,PENDING,,,
28,dumping,yes,20649,0,keep,dumping,dumping,,none,,PENDING,,,
161,ear_plugs,no,46,46,"REVIEW — merge to generic",other,sanitary,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'ear_plugs' disappears; quantities move to target column",,PENDING,,,
106,ear_swabs,yes,19,0,keep,ear_swabs,sanitary,,none,,PENDING,,,
166,earSwabs,no,294,294,"merge (proposed)",ear_swabs,sanitary,,"CSV column 'earSwabs' disappears; quantities move to target column",,PENDING,,,
169,elec_large,no,100,100,"REVIEW — merge to generic",other,electronics,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'elec_large' disappears; quantities move to target column",,PENDING,,,
174,elec_small,no,385,385,"REVIEW — merge to generic",other,electronics,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'elec_small' disappears; quantities move to target column",,PENDING,,,
156,energy_can,no,20931,20931,"merge (proposed)",can+type:energy,softdrinks,,"CSV column 'energy_can' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
79,face_mask,yes,17,0,keep,face_mask,medical,,none,,PENDING,,,
183,facemask,no,7910,7910,"merge (proposed)",face_mask,medical,,"CSV column 'facemask' disappears; quantities move to target column",,PENDING,,,
17,fallen_tree,yes,0,0,keep,fallen_tree,civic,,none,,PENDING,,,
167,filters,no,852,852,"merge (proposed)",rolling_filter,smoking,,"CSV column 'filters' disappears; quantities move to target column",,PENDING,,,
66,fishing_hook,yes,0,0,keep,fishing_hook,marine,,none,,PENDING,,,
67,fishing_line,yes,5,0,keep,fishing_line,marine,,none,,PENDING,,,
68,fishing_lure,yes,0,0,keep,fishing_lure,marine,,none,,PENDING,,,
69,fishing_net,yes,4,0,keep,fishing_net,marine,,none,,PENDING,,,
173,fishing_nets,no,1154,1154,"merge (proposed)",fishing_net,marine,,"CSV column 'fishing_nets' disappears; quantities move to target column",,PENDING,,,
145,fizzy_bottle,no,7831,7831,"merge (proposed)",bottle+type:soda,softdrinks,,"CSV column 'fizzy_bottle' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
97,furniture,yes,0,0,keep,furniture,other,,none,,PENDING,,,
7,glass,yes,123,0,keep,glass,alcohol,,none,,PENDING,,,
159,glass_jar,no,188,188,"merge (proposed)",jar,food,,"CSV column 'glass_jar' disappears; quantities move to target column",,PENDING,,,
80,gloves,yes,2586,2562,"REVIEW — canonical object tagged in a category with no pivot",gloves,medical,"target may be generic ""other"" — check manifest","CSV column 'gloves' disappears; quantities move to target column","decide: add pivot for that category, or move category",PENDING,,,
13,graffiti,yes,11,0,keep,graffiti,art,,none,,PENDING,,,
42,gum,yes,490,0,keep,gum,food,,none,,PENDING,,,
160,hair_tie,no,546,546,"REVIEW — merge to generic",other,sanitary,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'hair_tie' disappears; quantities move to target column",,PENDING,,,
32,headphones,yes,1,0,keep,headphones,electronics,,none,,PENDING,,,
130,hubcap,yes,0,0,keep,hubcap,vehicles,,none,,PENDING,,,
194,icedTea_can,no,607,607,"merge (proposed)",can+type:iced_tea,softdrinks,,"CSV column 'icedTea_can' disappears; quantities move to target column",,PENDING,,,
186,iceTea_bottle,no,851,851,"merge (proposed)",bottle+type:tea,softdrinks,,"CSV column 'iceTea_bottle' disappears; quantities move to target column",,PENDING,,,
81,inhaler,yes,0,0,keep,inhaler,medical,,none,,PENDING,,,
185,item,no,43,43,"REVIEW — merge to generic",other,art,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'item' disappears; quantities move to target column",,PENDING,,,
43,jar,yes,1,0,keep,jar,food,,none,,PENDING,,,
155,juice_bottle,no,1940,1940,"merge (proposed)",bottle+type:juice,softdrinks,,"CSV column 'juice_bottle' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
154,juice_carton,no,2327,2327,"merge (proposed)",carton+type:juice,softdrinks,,"CSV column 'juice_carton' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
125,juice_pouch,yes,2263,0,keep,juice_pouch,softdrinks,,none,,PENDING,,,
8,label,yes,3154,0,keep,label,alcohol|softdrinks,,none,,PENDING,,,
197,lego,no,3,3,"REVIEW — merge to generic",other,other,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'lego' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
131,license_plate,yes,0,0,keep,license_plate,vehicles,,none,,PENDING,,,
23,lid,yes,25001,0,keep,lid,coffee|food|softdrinks,,none,,PENDING,,,
184,life_buoy,no,11,11,"merge (proposed)",buoy,marine,,"CSV column 'life_buoy' disappears; quantities move to target column",,PENDING,,,
132,light,yes,0,0,keep,light,vehicles,,none,,PENDING,,,
33,light_bulb,yes,1,0,keep,light_bulb,electronics,,none,,PENDING,,,
119,lighters,yes,886,60,"REVIEW — canonical object tagged in a category with no pivot",lighters,smoking,"target may be generic ""other"" — check manifest","CSV column 'lighters' disappears; quantities move to target column","decide: add pivot for that category, or move category",PENDING,,,
18,loose_cables,yes,0,0,keep,loose_cables,civic,,none,,PENDING,,,
70,macroplastics,yes,790,0,keep,macroplastics,marine,,none,,PENDING,,,
191,magazine,no,124,124,"REVIEW — merge to generic",other,other,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'magazine' disappears; quantities move to target column",,PENDING,,,
98,mattress,yes,1,0,keep,mattress,other,,none,,PENDING,,,
82,medicine_bottle,yes,2,0,keep,medicine_bottle,medical,,none,,PENDING,,,
147,mediumplastics,no,4004,4004,"merge (proposed)",macroplastics,marine,,"CSV column 'mediumplastics' disappears; quantities move to target column",,PENDING,,,
182,menstrual,no,201,201,"merge (proposed)",sanitary_pad,sanitary,,"CSV column 'menstrual' disappears; quantities move to target column",,PENDING,,,
114,menstrual_cup,yes,0,0,keep,menstrual_cup,sanitary,,none,,PENDING,,,
91,metal,yes,4134,0,keep,metal,other,,none,,PENDING,,,
71,microplastics,yes,9948,0,keep,microplastics,marine,,none,,PENDING,,,
153,milk_bottle,no,935,935,"merge (proposed)",bottle+type:milk,softdrinks,,"CSV column 'milk_bottle' disappears; quantities move to target column",,PENDING,,,
151,milk_carton,no,874,874,"merge (proposed)",carton+type:milk,softdrinks,,"CSV column 'milk_carton' disappears; quantities move to target column",,PENDING,,,
133,mirror,yes,0,0,keep,mirror,vehicles,,none,,PENDING,,,
14,mural,yes,0,0,keep,mural,art,,none,,PENDING,,,
47,napkins,yes,4397,0,keep,napkins,food,,none,,PENDING,,,
105,nappies,yes,861,0,keep,nappies,sanitary,,none,,PENDING,,,
72,nurdles,yes,0,0,keep,nurdles,marine,,none,,PENDING,,,
198,oil,no,69,69,"merge (proposed)",oil_container,industrial,,"CSV column 'oil' disappears; quantities move to target column",,PENDING,,,
54,oil_container,yes,0,0,keep,oil_container,industrial,,none,,PENDING,,,
55,oil_drum,yes,0,0,keep,oil_drum,industrial,,none,,PENDING,,,
1,other,yes,46906,0,keep,other,alcohol|art|civic|coffee|dumping|electronics|food|industrial|marine|medical|other|pets|sanitary|smoking|softdrinks|unclassified|vehicles,,none,,PENDING,,,
19,overflowing_bin,yes,6,0,keep,overflowing_bin,civic|other,,none,,PENDING,,,
188,overflowingBins,no,524,524,"merge (proposed)",overflowing_bin,other,,"CSV column 'overflowingBins' disappears; quantities move to target column",,PENDING,,,
9,packaging,yes,56301,0,keep,packaging,alcohol|coffee|food|smoking|softdrinks,,none,,PENDING,,,
44,packet,yes,3095,0,keep,packet,food,,none,,PENDING,,,
100,paint_can,yes,7,0,keep,paint_can,other,,none,,PENDING,,,
60,pallet,yes,0,0,keep,pallet,industrial,,none,,PENDING,,,
93,paper,yes,31919,0,keep,paper,other,,none,,PENDING,,,
120,papers,yes,6,0,keep,papers,smoking,,none,,PENDING,,,
34,phone,yes,0,0,keep,phone,electronics,,none,,PENDING,,,
83,pill_pack,yes,2,0,keep,pill_pack,medical,,none,,PENDING,,,
62,pipe,yes,0,0,keep,pipe,industrial,,none,,PENDING,,,
46,pizza_box,yes,208,0,keep,pizza_box,food,,none,,PENDING,,,
84,plaster,yes,0,0,keep,plaster,medical,,none,,PENDING,,,
89,plastic,yes,100142,2937,"REVIEW — canonical object tagged in a category with no pivot",plastic,other,"target may be generic ""other"" — check manifest","CSV column 'plastic' disappears; quantities move to target column","decide: add pivot for that category, or move category; BrandsConfig references this key — must update in same change",PENDING,,,
92,plastic_bag,yes,264,0,keep,plastic_bag,other,,none,,PENDING,,,
149,plasticBags,no,12946,12946,"merge (proposed)",plastic_bag,other,,"CSV column 'plasticBags' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
45,plate,yes,1710,0,keep,plate,food,,none,,PENDING,,,
26,pod,yes,1,0,keep,pod,coffee,,none,,PENDING,,,
73,polystyrene_fragment,yes,42,0,keep,polystyrene_fragment,marine,,none,,PENDING,,,
94,poster,yes,6,0,keep,poster,other,,none,,PENDING,,,
177,posters,no,268,268,"merge (proposed)",poster,other,,"CSV column 'posters' disappears; quantities move to target column",,PENDING,,,
20,pothole,yes,0,0,keep,pothole,civic,,none,,PENDING,,,
121,pouch,yes,8,0,keep,pouch,smoking,,none,,PENDING,,,
35,printer_cartridge,yes,0,0,keep,printer_cartridge,electronics,,none,,PENDING,,,
10,pull_ring,yes,5,0,keep,pull_ring,alcohol|softdrinks,,none,,PENDING,,,
175,pullRing,no,1168,1168,"merge (proposed)",pull_ring,softdrinks,,"CSV column 'pullRing' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
170,randomLitter,no,33801,33801,"REVIEW — merge to generic",other,other,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'randomLitter' disappears; quantities move to target column",,PENDING,,,
122,rolling_filter,yes,8,0,keep,rolling_filter,smoking,,none,,PENDING,,,
148,rollingPapers,no,546,546,"merge (proposed)",papers,smoking,,"CSV column 'rollingPapers' disappears; quantities move to target column",,PENDING,,,
74,rope,yes,4670,0,keep,rope,marine,,none,,PENDING,,,
48,sachet,yes,5,0,keep,sachet,food,,none,,PENDING,,,
112,sanitary_pad,yes,6,0,keep,sanitary_pad,sanitary,,none,,PENDING,,,
85,sanitiser,yes,54,53,"REVIEW — canonical object tagged in a category with no pivot",sanitiser,medical,"target may be generic ""other"" — check manifest","CSV column 'sanitiser' disappears; quantities move to target column","decide: add pivot for that category, or move category",PENDING,,,
75,shellfish_bag,yes,0,0,keep,shellfish_bag,marine,,none,,PENDING,,,
76,shotgun_cartridge,yes,81,0,keep,shotgun_cartridge,marine,,none,,PENDING,,,
193,shotgun_cartridges,no,725,725,"merge (proposed)",shotgun_cartridge,marine,,"CSV column 'shotgun_cartridges' disappears; quantities move to target column",,PENDING,,,
11,six_pack_rings,yes,271,0,keep,six_pack_rings,alcohol,,none,,PENDING,,,
49,skewer,yes,0,0,keep,skewer,food,,none,,PENDING,,,
27,sleeve,yes,4,0,keep,sleeve,coffee,,none,,PENDING,,,
142,soda_can,no,18034,18034,"merge (proposed)",can+type:soda,softdrinks,,"CSV column 'soda_can' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
144,spirits_bottle,no,3457,3457,"merge (proposed)",bottle+type:spirits,alcohol,,"CSV column 'spirits_bottle' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
143,sports_bottle,no,3277,3277,"merge (proposed)",bottle+type:sports,softdrinks,,"CSV column 'sports_bottle' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
24,stirrer,yes,13,0,keep,stirrer,coffee,,none,,PENDING,,,
25,straw,yes,261,0,keep,straw,coffee|food|softdrinks,,none,,PENDING,,,
172,straw_packaging,no,1111,1111,"merge (proposed)",straw_wrapper,softdrinks,,"CSV column 'straw_packaging' disappears; quantities move to target column",,PENDING,,,
126,straw_wrapper,yes,59,0,keep,straw_wrapper,softdrinks,,none,,PENDING,,,
150,straws,no,8664,8664,"REVIEW — merge to generic",straw,softdrinks|marine,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'straws' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
77,styrofoam,yes,4799,0,keep,styrofoam,marine,,none,,PENDING,,,
86,syringe,yes,0,0,keep,syringe,medical,,none,,PENDING,,,
50,takeaway_container,yes,9,0,keep,takeaway_container,food,,none,,PENDING,,,
113,tampon,yes,0,0,keep,tampon,sanitary,,none,,PENDING,,,
59,tape,yes,391,0,keep,tape,industrial,,none,,PENDING,,,
87,test_kit,yes,1,0,keep,test_kit,medical,,none,,PENDING,,,
51,tinfoil,yes,2600,0,keep,tinfoil,food,,none,,PENDING,,,
107,tissue,yes,602,0,keep,tissue,sanitary,,none,,PENDING,,,
162,tobaccopouch,no,434,434,"merge (proposed)",pouch+type:tobacco,smoking,,"CSV column 'tobaccopouch' disappears; quantities move to target column",,PENDING,,,
108,toothbrush,yes,89,0,keep,toothbrush,sanitary,,none,,PENDING,,,
109,toothpaste_tube,yes,0,0,keep,toothpaste_tube,sanitary,,none,,PENDING,,,
168,toothpick,no,309,309,"REVIEW — merge to generic",other,sanitary,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'toothpick' disappears; quantities move to target column",,PENDING,,,
90,traffic_cone,yes,1,0,keep,traffic_cone,other,,none,,PENDING,,,
171,trafficCone,no,136,136,"merge (proposed)",traffic_cone,other,,"CSV column 'trafficCone' disappears; quantities move to target column",,PENDING,,,
52,tray,yes,2,0,keep,tray,food,,none,,PENDING,,,
134,trim,yes,0,0,keep,trim,vehicles,,none,,PENDING,,,
135,tyre,yes,436,436,"REVIEW — canonical object tagged in a category with no pivot",tyre,vehicles,"target may be generic ""other"" — check manifest","CSV column 'tyre' disappears; quantities move to target column","decide: add pivot for that category, or move category",PENDING,,,
101,umbrella,yes,0,0,keep,umbrella,other,,none,,PENDING,,,
123,vape,yes,27,0,keep,vape,smoking,,none,,PENDING,,,
189,vapeOil,no,74,74,"merge (proposed)",vape+type:e_liquid_bottle,smoking,,"CSV column 'vapeOil' disappears; quantities move to target column",,PENDING,,,
190,vapePen,no,582,582,"merge (proposed)",vape+type:pen,smoking,,"CSV column 'vapePen' disappears; quantities move to target column",,PENDING,,,
21,walkability,yes,0,0,keep,walkability,civic,,none,,PENDING,,,
152,washingUp,no,102,102,"REVIEW — merge to generic",other,other,"LOSSY: collapses into generic ""other"" — specific meaning discarded","CSV column 'washingUp' disappears; quantities move to target column",,PENDING,,,
140,water_bottle,no,21889,21889,"merge (proposed)",bottle+type:water,softdrinks,,"CSV column 'water_bottle' disappears; quantities move to target column","BrandsConfig references this key — must update in same change",PENDING,,,
179,wetwipes,no,6052,6052,"merge (proposed)",wipes,sanitary,,"CSV column 'wetwipes' disappears; quantities move to target column",,PENDING,,,
136,wheel,yes,0,0,keep,wheel,vehicles,,none,,PENDING,,,
139,wine_bottle,no,863,863,"merge (proposed)",bottle+type:wine,alcohol,,"CSV column 'wine_bottle' disappears; quantities move to target column",,PENDING,,,
12,wine_cork,yes,0,0,keep,wine_cork,alcohol,,none,,PENDING,,,
104,wipes,yes,80,0,keep,wipes,sanitary,,none,,PENDING,,,
61,wire,yes,1,0,keep,wire,industrial,,none,,PENDING,,,
53,wrapper,yes,22565,0,keep,wrapper,food,,none,,PENDING,,,
