object_id,object_key,in_tagsconfig,total_items,pivotless_items,categories_used,proposed_action,uncertainty,status,decision,decided_by,decided_at,notes
70,macroplastics,yes,790,0,marine,keep,,NO_REVIEW_NEEDED,,,,
191,magazine,no,124,124,other,"merge → other/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""",PENDING,,,,
98,mattress,yes,1,0,other,keep,,NO_REVIEW_NEEDED,,,,
82,medicine_bottle,yes,2,0,medical,keep,,NO_REVIEW_NEEDED,,,,
147,mediumplastics,no,4004,4004,marine,"merge → marine/macroplastics","legacy key not in TagsConfig",PENDING,,,,
182,menstrual,no,201,201,sanitary,"merge → sanitary/sanitary_pad","legacy key not in TagsConfig",PENDING,,,,
114,menstrual_cup,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
91,metal,yes,4134,0,other,keep,,NO_REVIEW_NEEDED,,,,
71,microplastics,yes,9948,0,marine,keep,,NO_REVIEW_NEEDED,,,,
153,milk_bottle,no,935,935,softdrinks,"merge → softdrinks/bottle","legacy key not in TagsConfig",PENDING,,,,
151,milk_carton,no,874,874,softdrinks,"merge → softdrinks/carton","legacy key not in TagsConfig",PENDING,,,,
133,mirror,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
14,mural,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
47,napkins,yes,4397,0,food,keep,,NO_REVIEW_NEEDED,,,,
105,nappies,yes,861,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
72,nurdles,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
198,oil,no,69,69,industrial,"merge → industrial/oil_container","legacy key not in TagsConfig",PENDING,,,,
54,oil_container,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
55,oil_drum,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
1,other,yes,46906,0,alcohol|art|civic|coffee|dumping|electronics|food|industrial|marine|medical|other|pets|sanitary|smoking|softdrinks|vehicles,keep,,NO_REVIEW_NEEDED,,,,
188,overflowingBins,no,524,524,other,"merge → other/overflowing_bin","legacy key not in TagsConfig; duplicate candidate: overflowing_bin (CANDIDATE ONLY)",PENDING,,,,
19,overflowing_bin,yes,6,0,civic,keep,"duplicate candidate: overflowingBins (CANDIDATE ONLY)",PENDING,,,,
9,packaging,yes,56301,0,alcohol|coffee|food|smoking|softdrinks,keep,,NO_REVIEW_NEEDED,,,,
44,packet,yes,3095,0,food,keep,,NO_REVIEW_NEEDED,,,,
100,paint_can,yes,7,0,other,keep,,NO_REVIEW_NEEDED,,,,
60,pallet,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
93,paper,yes,31919,0,other,keep,"duplicate candidate: papers (CANDIDATE ONLY)",PENDING,,,,
120,papers,yes,6,0,smoking,keep,"duplicate candidate: paper (CANDIDATE ONLY)",PENDING,,,,
34,phone,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
83,pill_pack,yes,2,0,medical,keep,,NO_REVIEW_NEEDED,,,,
62,pipe,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
46,pizza_box,yes,208,0,food,keep,,NO_REVIEW_NEEDED,,,,
84,plaster,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
89,plastic,yes,100142,2937,industrial|other,"merge → other/plastic","canonical object tagged in a category with no pivot; BrandsConfig references this key — must update together",PENDING,,,,
149,plasticBags,no,12946,12946,other,"merge → other/plastic_bag","legacy key not in TagsConfig; duplicate candidate: plastic_bag (CANDIDATE ONLY); BrandsConfig references this key — must update together",PENDING,,,,
92,plastic_bag,yes,264,0,other,keep,"duplicate candidate: plasticBags (CANDIDATE ONLY)",PENDING,,,,
45,plate,yes,1710,0,food,keep,,NO_REVIEW_NEEDED,,,,
26,pod,yes,1,0,coffee,keep,,NO_REVIEW_NEEDED,,,,
73,polystyrene_fragment,yes,42,0,marine,keep,,NO_REVIEW_NEEDED,,,,
94,poster,yes,6,0,other,keep,"duplicate candidate: posters (CANDIDATE ONLY)",PENDING,,,,
177,posters,no,268,268,other,"merge → other/poster","legacy key not in TagsConfig; duplicate candidate: poster (CANDIDATE ONLY)",PENDING,,,,
20,pothole,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
121,pouch,yes,8,0,smoking,keep,,NO_REVIEW_NEEDED,,,,
35,printer_cartridge,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
175,pullRing,no,1168,1168,softdrinks,"merge → softdrinks/pull_ring","legacy key not in TagsConfig; duplicate candidate: pull_ring (CANDIDATE ONLY); BrandsConfig references this key — must update together",PENDING,,,,
10,pull_ring,yes,5,0,softdrinks,keep,"duplicate candidate: pullRing (CANDIDATE ONLY)",PENDING,,,,
170,randomLitter,no,33801,33801,other,"merge → other/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""",PENDING,,,,
148,rollingPapers,no,546,546,smoking,"merge → smoking/papers","legacy key not in TagsConfig",PENDING,,,,
122,rolling_filter,yes,8,0,smoking,keep,,NO_REVIEW_NEEDED,,,,
74,rope,yes,4670,0,marine,keep,,NO_REVIEW_NEEDED,,,,
48,sachet,yes,5,0,food,keep,,NO_REVIEW_NEEDED,,,,
112,sanitary_pad,yes,6,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
85,sanitiser,yes,54,53,medical|sanitary,"merge → medical/sanitiser","canonical object tagged in a category with no pivot",PENDING,,,,
75,shellfish_bag,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
76,shotgun_cartridge,yes,81,0,marine,keep,"duplicate candidate: shotgun_cartridges (CANDIDATE ONLY)",PENDING,,,,
193,shotgun_cartridges,no,725,725,marine,"merge → marine/shotgun_cartridge","legacy key not in TagsConfig; duplicate candidate: shotgun_cartridge (CANDIDATE ONLY)",PENDING,,,,
11,six_pack_rings,yes,271,0,alcohol,keep,,NO_REVIEW_NEEDED,,,,
49,skewer,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
27,sleeve,yes,4,0,coffee,keep,,NO_REVIEW_NEEDED,,,,
142,soda_can,no,18034,18034,softdrinks,"merge → softdrinks/can","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
144,spirits_bottle,no,3457,3457,alcohol,"merge → alcohol/bottle","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
143,sports_bottle,no,3277,3277,softdrinks,"merge → softdrinks/bottle","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
24,stirrer,yes,13,0,coffee,keep,,NO_REVIEW_NEEDED,,,,
25,straw,yes,261,0,coffee|food|softdrinks,keep,"duplicate candidate: straws (CANDIDATE ONLY)",PENDING,,,,
172,straw_packaging,no,1111,1111,softdrinks,"merge → softdrinks/straw_wrapper","legacy key not in TagsConfig",PENDING,,,,
126,straw_wrapper,yes,59,0,softdrinks,keep,,NO_REVIEW_NEEDED,,,,
150,straws,no,8664,8664,marine|softdrinks,"merge → softdrinks/straw , marine/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""; duplicate candidate: straw (CANDIDATE ONLY); BrandsConfig references this key — must update together",PENDING,,,,
77,styrofoam,yes,4799,0,marine,keep,,NO_REVIEW_NEEDED,,,,
86,syringe,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
50,takeaway_container,yes,9,0,food,keep,,NO_REVIEW_NEEDED,,,,
113,tampon,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
59,tape,yes,391,0,industrial,keep,,NO_REVIEW_NEEDED,,,,
87,test_kit,yes,1,0,medical,keep,,NO_REVIEW_NEEDED,,,,
51,tinfoil,yes,2600,0,food,keep,,NO_REVIEW_NEEDED,,,,
107,tissue,yes,602,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
162,tobaccopouch,no,434,434,smoking,"merge → smoking/pouch","legacy key not in TagsConfig",PENDING,,,,
108,toothbrush,yes,89,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
109,toothpaste_tube,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
168,toothpick,no,309,309,sanitary,"merge → sanitary/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""",PENDING,,,,
171,trafficCone,no,136,136,other,"merge → other/traffic_cone","legacy key not in TagsConfig; duplicate candidate: traffic_cone (CANDIDATE ONLY)",PENDING,,,,
90,traffic_cone,yes,1,0,other,keep,"duplicate candidate: trafficCone (CANDIDATE ONLY)",PENDING,,,,
52,tray,yes,2,0,food,keep,,NO_REVIEW_NEEDED,,,,
134,trim,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
135,tyre,yes,436,436,other,"merge → vehicles/tyre","CATEGORY MOVE to vehicles; canonical object tagged in a category with no pivot",PENDING,,,,
101,umbrella,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
123,vape,yes,27,0,smoking,keep,,NO_REVIEW_NEEDED,,,,
189,vapeOil,no,74,74,smoking,"merge → smoking/vape","legacy key not in TagsConfig",PENDING,,,,
190,vapePen,no,582,582,smoking,"merge → smoking/vape","legacy key not in TagsConfig",PENDING,,,,
21,walkability,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
152,washingUp,no,102,102,other,"merge → other/other","legacy key not in TagsConfig; LOSSY: proposed merge into generic ""other""",PENDING,,,,
140,water_bottle,no,21889,21889,softdrinks,"merge → softdrinks/bottle","legacy key not in TagsConfig; BrandsConfig references this key — must update together",PENDING,,,,
179,wetwipes,no,6052,6052,sanitary,"merge → sanitary/wipes","legacy key not in TagsConfig",PENDING,,,,
136,wheel,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
139,wine_bottle,no,863,863,alcohol,"merge → alcohol/bottle","legacy key not in TagsConfig",PENDING,,,,
12,wine_cork,yes,0,0,,keep,,NO_REVIEW_NEEDED,,,,
104,wipes,yes,80,0,sanitary,keep,,NO_REVIEW_NEEDED,,,,
61,wire,yes,1,0,industrial,keep,,NO_REVIEW_NEEDED,,,,
53,wrapper,yes,22565,0,food,keep,,NO_REVIEW_NEEDED,,,,
